MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Southampton_Liverpool,2019-2020,2,2019-08-17,15:00,Southampton,Liverpool,1,2,A,0.0,1.0,A,A Marriner,14.0,15.0,3.0,6.0,5.0,9.0,10.0,6.0,2.0,1.0,0.0,0.0,6.5,4.75,1.44,1.66,2.2,7.5,4.9,1.52,6.77,4.67,1.47,1.7,2.38,1.64,2.28,0,3
2019-2020_Man City_Tottenham,2019-2020,2,2019-08-17,17:30,Man City,Tottenham,2,2,D,2.0,1.0,H,M Oliver,30.0,3.0,10.0,2.0,13.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,1.36,5.25,8.0,1.53,2.5,1.4,5.5,9.0,1.36,5.32,8.46,1.56,2.69,1.52,2.55,1,1
2019-2020_Sheffield United_Crystal Palace,2019-2020,2,2019-08-18,14:00,Sheffield United,Crystal Palace,1,0,H,0.0,0.0,D,D Coote,15.0,6.0,3.0,4.0,8.0,4.0,16.0,11.0,3.0,1.0,0.0,0.0,2.55,3.1,2.9,2.3,1.61,2.65,3.35,3.1,2.57,3.19,2.95,2.45,1.66,2.37,1.6,3,0
2019-2020_Chelsea_Leicester,2019-2020,2,2019-08-18,16:30,Chelsea,Leicester,1,1,D,1.0,0.0,H,O Langford,14.0,12.0,5.0,3.0,4.0,5.0,9.0,14.0,1.0,0.0,0.0,0.0,1.7,3.75,5.0,1.9,1.9,1.77,4.0,5.35,1.73,3.77,5.07,2.02,1.92,1.96,1.86,1,1
2019-2020_Wolves_Man United,2019-2020,2,2019-08-19,20:00,Wolves,Man United,1,1,D,0.0,1.0,A,J Moss,6.0,9.0,2.0,2.0,4.0,6.0,17.0,8.0,2.0,2.0,0.0,0.0,3.3,3.3,2.25,2.1,1.72,3.41,3.4,2.35,3.32,3.28,2.3,2.19,1.78,2.12,1.74,1,1
2019-2020_Aston Villa_Everton,2019-2020,3,2019-08-23,20:00,Aston Villa,Everton,2,0,H,1.0,0.0,H,M Oliver,7.0,12.0,3.0,1.0,0.0,6.0,10.0,18.0,2.0,3.0,0.0,0.0,3.25,3.5,2.15,1.72,2.1,3.26,3.72,2.35,3.16,3.5,2.27,1.85,2.22,1.79,2.05,3,0
2019-2020_Norwich_Chelsea,2019-2020,3,2019-08-24,12:30,Norwich,Chelsea,2,3,A,2.0,2.0,D,M Atkinson,6.0,23.0,5.0,8.0,1.0,8.0,9.0,9.0,1.0,1.0,0.0,0.0,4.33,3.75,1.8,1.53,2.5,4.4,4.07,1.87,4.18,3.92,1.83,1.59,2.55,1.56,2.44,0,3
2019-2020_Brighton_Southampton,2019-2020,3,2019-08-24,15:00,Brighton,Southampton,0,2,A,0.0,0.0,D,K Friend,12.0,12.0,3.0,4.0,8.0,5.0,9.0,10.0,1.0,3.0,1.0,0.0,2.4,3.3,3.0,2.1,1.72,2.55,3.4,3.2,2.43,3.25,3.08,2.2,1.81,2.1,1.75,0,3
2019-2020_Man United_Crystal Palace,2019-2020,3,2019-08-24,15:00,Man United,Crystal Palace,1,2,A,0.0,1.0,A,P Tierney,22.0,5.0,3.0,3.0,8.0,1.0,8.0,18.0,2.0,4.0,0.0,0.0,1.33,5.25,9.0,1.72,2.1,1.39,5.3,10.75,1.36,5.06,9.16,1.8,2.16,1.76,2.09,0,3
2019-2020_Sheffield United_Leicester,2019-2020,3,2019-08-24,15:00,Sheffield United,Leicester,1,2,A,0.0,1.0,A,A Madley,8.0,10.0,3.0,2.0,7.0,4.0,11.0,6.0,1.0,0.0,0.0,0.0,3.3,3.3,2.25,2.3,1.61,3.6,3.34,2.32,3.45,3.23,2.26,2.38,1.67,2.3,1.63,0,3
2019-2020_Watford_West Ham,2019-2020,3,2019-08-24,15:00,Watford,West Ham,1,3,A,1.0,1.0,D,C Kavanagh,23.0,16.0,3.0,10.0,8.0,7.0,12.0,11.0,1.0,1.0,0.0,0.0,2.05,3.5,3.5,1.72,2.1,2.2,3.65,3.65,2.13,3.53,3.47,1.79,2.2,1.73,2.13,0,3
2019-2020_Liverpool_Arsenal,2019-2020,3,2019-08-24,17:30,Liverpool,Arsenal,3,1,H,1.0,0.0,H,A Taylor,25.0,9.0,5.0,3.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,1.5,4.6,6.0,1.44,2.75,1.53,5.0,6.5,1.5,4.76,6.09,1.47,2.97,1.44,2.79,3,0
