MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Man City_Newcastle,2023-2024,2,2023-08-19,20:00,Man City,Newcastle,1,0,H,1.0,0.0,H,R Jones,14.0,7.0,4.0,1.0,3.0,0.0,12.0,11.0,1.0,5.0,0.0,0.0,1.67,4.0,5.0,1.73,2.1,1.75,4.3,5.2,1.7,4.07,4.83,1.76,2.26,1.72,2.15,3,0
2023-2024_Aston Villa_Everton,2023-2024,2,2023-08-20,14:00,Aston Villa,Everton,4,0,H,2.0,0.0,H,A Taylor,13.0,9.0,7.0,2.0,7.0,6.0,8.0,12.0,3.0,4.0,0.0,0.0,1.7,4.0,4.5,1.92,1.98,1.76,4.1,5.4,1.7,3.91,5.0,1.96,2.02,1.89,1.94,3,0
2023-2024_West Ham_Chelsea,2023-2024,2,2023-08-20,16:30,West Ham,Chelsea,3,1,H,1.0,1.0,D,J Brooks,12.0,17.0,6.0,4.0,3.0,9.0,12.0,9.0,2.0,3.0,1.0,0.0,3.75,3.5,2.0,1.96,1.94,3.86,3.75,2.12,3.66,3.57,2.04,1.98,2.0,1.92,1.91,3,0
2023-2024_Crystal Palace_Arsenal,2023-2024,2,2023-08-21,20:00,Crystal Palace,Arsenal,0,1,A,0.0,0.0,D,D Coote,14.0,14.0,2.0,3.0,1.0,8.0,14.0,10.0,2.0,1.0,0.0,1.0,5.5,4.0,1.6,1.94,1.96,6.0,4.33,1.68,5.79,4.06,1.6,2.0,1.97,1.92,1.9,0,3
2023-2024_Chelsea_Luton,2023-2024,3,2023-08-25,20:00,Chelsea,Luton,3,0,H,1.0,0.0,H,R Jones,19.0,11.0,8.0,1.0,6.0,4.0,15.0,12.0,2.0,3.0,0.0,0.0,1.29,5.5,11.0,1.67,2.2,1.33,6.5,13.0,1.29,5.86,10.78,1.71,2.42,1.66,2.27,3,0
2023-2024_Bournemouth_Tottenham,2023-2024,3,2023-08-26,12:30,Bournemouth,Tottenham,0,2,A,0.0,1.0,A,T Robinson,11.0,17.0,3.0,6.0,6.0,2.0,18.0,11.0,1.0,3.0,0.0,0.0,3.8,3.75,1.91,1.53,2.5,3.95,4.1,2.05,3.67,3.94,1.95,1.59,2.6,1.55,2.47,0,3
2023-2024_Arsenal_Fulham,2023-2024,3,2023-08-26,15:00,Arsenal,Fulham,2,2,D,0.0,1.0,A,P Tierney,19.0,8.0,11.0,3.0,8.0,3.0,6.0,5.0,0.0,3.0,0.0,1.0,1.2,7.0,13.0,1.44,2.75,1.27,7.27,15.25,1.23,6.49,13.35,1.53,2.8,1.48,2.67,1,1
2023-2024_Brentford_Crystal Palace,2023-2024,3,2023-08-26,15:00,Brentford,Crystal Palace,1,1,D,1.0,0.0,H,P Bankes,12.0,15.0,1.0,5.0,8.0,6.0,9.0,15.0,0.0,0.0,0.0,0.0,2.15,3.4,3.5,2.1,1.73,2.2,3.54,3.75,2.14,3.41,3.57,2.21,1.78,2.13,1.74,1,1
2023-2024_Everton_Wolves,2023-2024,3,2023-08-26,15:00,Everton,Wolves,0,1,A,0.0,0.0,D,C Pawson,15.0,11.0,7.0,2.0,7.0,0.0,10.0,14.0,3.0,4.0,0.0,0.0,2.3,3.3,3.2,2.1,1.73,2.42,3.48,3.4,2.32,3.31,3.24,2.2,1.8,2.12,1.74,0,3
2023-2024_Man United_Nott'm Forest,2023-2024,3,2023-08-26,15:00,Man United,Nott'm Forest,3,2,H,1.0,2.0,A,S Attwell,18.0,9.0,9.0,4.0,11.0,3.0,13.0,11.0,4.0,4.0,0.0,1.0,1.3,6.0,8.0,1.5,2.63,1.34,6.2,10.0,1.31,5.79,9.23,1.55,2.63,1.52,2.56,3,0
2023-2024_Brighton_West Ham,2023-2024,3,2023-08-26,17:30,Brighton,West Ham,1,3,A,0.0,1.0,A,A Taylor,25.0,12.0,10.0,3.0,17.0,4.0,10.0,9.0,1.0,3.0,0.0,0.0,1.53,4.75,5.25,1.5,2.63,1.58,4.9,6.0,1.53,4.67,5.73,1.52,2.73,1.49,2.63,0,3
2023-2024_Burnley_Aston Villa,2023-2024,3,2023-08-27,14:00,Burnley,Aston Villa,1,3,A,0.0,2.0,A,M Salisbury,9.0,16.0,2.0,6.0,4.0,6.0,12.0,11.0,2.0,0.0,0.0,0.0,3.4,3.4,2.15,1.86,2.04,3.46,3.7,2.22,3.36,3.55,2.16,1.92,2.06,1.85,1.99,0,3
2023-2024_Sheffield United_Man City,2023-2024,3,2023-08-27,14:00,Sheffield United,Man City,1,2,A,0.0,0.0,D,J Gillett,6.0,30.0,2.0,9.0,1.0,12.0,11.0,2.0,3.0,0.0,0.0,0.0,13.0,8.0,1.17,1.57,2.38,19.5,8.6,1.21,16.67,7.51,1.18,1.62,2.5,1.57,2.41,0,3
2023-2024_Newcastle_Liverpool,2023-2024,3,2023-08-27,16:30,Newcastle,Liverpool,1,2,A,1.0,0.0,H,J Brooks,23.0,9.0,8.0,4.0,5.0,9.0,16.0,10.0,1.0,2.0,0.0,1.0,2.2,3.75,3.0,1.5,2.63,2.3,4.1,3.18,2.2,3.9,3.03,1.53,2.8,1.49,2.64,0,3
